Fecha,Funcionalidades,Proyectos,Ventas,Satisfacción,Innovación,Capacitación,Liderazgo,Feedback,Campaigns,CTR
2017-07-31,3.785749967601582,1.8328973488805056,54.0232462015392,92.0365008596073,7.945914081049446,7.186620632287395,3.9800365319550313,60.0,2,0.259363256097558
2017-08-31,4.280560084959326,3.5492620972852826,48.17489021795128,87.9664753216328,6.559074656207001,9.12107493792227,3.987465413031591,60.0,2,0.3291772052612708
2017-09-30,2.183178456720168,4.231298871289839,66.27821112197446,94.60970449915592,2.9832948576272997,8.578119343619536,4.0383025819005205,60.0,2,0.309582080089077
2017-10-31,4.482339064155074,1.2475224601187156,72.82646991091751,88.14183981475422,7.89724209165095,5.929233944328763,4.231481887055983,60.0,1,0.2139844998991978
2017-11-30,5.588329406707034,3.4601580060109094,75.91987971946384,83.74328412199978,3.9008425026805935,9.1051823382323,4.611380702344616,60.0,2,0.32860364550149623
2017-12-31,8.209955080954675,8.352966212991745,23.762070168089426,85.51433970015489,5.758583993557193,10.107240932716175,3.797140548319824,60.0,3,0.3647676776890641
2018-01-31,4.989158115095393,2.08277391106769,57.96079872065509,94.01929515266475,5.796696340703043,9.836328460023399,5.075850603274704,60.0,3,0.35499051751459204
2018-02-28,0.9093246289409307,4.587846007738163,47.97007074834343,84.84301262559123,1.2246558621820753,15.246455075257476,3.4622033983880685,70.1295859045877,4,0.5502405698859465
2018-03-31,3.5700988214216225,4.707552143262462,49.52518123438066,77.97386504174312,4.379891169269232,10.930724310185962,3.7762115590630256,60.0,3,0.39448697707203406
2018-04-30,8.455747367012016,2.1897462894723034,35.438780457800306,87.88256838423028,10.273667052686598,3.6061926533853033,4.447720342258973,60.0,1,0.13014654822532465
2018-05-31,7.665286850918028,4.658677154453225,66.76443473865271,93.72951803253493,5.11251774953417,17.768855903388506,3.9001140140319,81.73195017149784,5,0.641273355035065
2018-06-30,4.679880290429029,2.4668375932621407,42.026351554884755,89.67530590579365,7.420877547182668,13.085879666572508,4.984580957492617,60.19152109025554,3,0.47226596934515147
