Fecha,Canal,Funcionalidades,Proyectos,Ventas,Satisfacción,Innovación,Capacitación,Liderazgo
2016-01-31,Digital,10,0,60.78706545926497,92.71120446915701,5,16,4.797613978616885
2016-01-31,Tradicional,1,3,33.30923690813458,91.14575229576769,0,13,3.6444782580516657
2016-02-29,Digital,6,4,43.888752015334134,93.30519083694446,5,10,4.248265693047787
2016-02-29,Tradicional,1,1,53.76930717847905,76.52543268294065,8,12,4.80885031326896
2016-03-31,Digital,9,2,69.45979277697666,97.07379140660527,7,11,3.7644253833419254
2016-03-31,Tradicional,7,4,40.1907772445328,73.72233108873172,7,10,3.7931258108929256
2016-04-30,Digital,6,4,37.4911333396541,72.31037332624574,5,14,3.1485839494382573
2016-04-30,Tradicional,3,5,61.83137076197714,90.02894211414593,3,0,4.284442146373111
2016-05-31,Digital,6,1,52.37286464659231,73.80049455621047,6,2,4.7245728220767695
2016-05-31,Tradicional,9,2,47.72526427167094,86.25462485515501,6,11,3.9752174835634495
2016-06-30,Digital,1,5,32.53928073881068,92.83743465023642,3,2,3.735670483062048
2016-06-30,Tradicional,4,4,38.18244897738539,89.63118590229762,3,13,3.891702527011846
2016-07-31,Digital,2,4,34.51081173722824,87.20553928882637,2,20,3.678100189740481
2016-07-31,Tradicional,8,1,41.48787262987987,81.52032446553525,3,3,4.518007776062168
2016-08-31,Digital,3,1,68.03342150128549,84.2597115814318,8,5,3.0640402080565767
2016-08-31,Tradicional,4,1,52.87966378895059,88.94196837604436,8,12,4.565855766350785
2016-09-30,Digital,4,2,42.14618243604726,86.78720406756021,0,8,4.1034249538917535
2016-09-30,Tradicional,2,5,67.9711795073068,91.69278332908587,0,11,3.7908878791102207
2016-10-31,Digital,9,5,60.51137381671853,79.77490672103806,7,15,3.959679220444131
2016-10-31,Tradicional,3,5,49.25914788770602,95.10794005180661,0,13,4.0232804336074555
2016-11-30,Digital,3,0,38.37176542465373,94.69218964757795,6,11,4.10658792402464
2016-11-30,Tradicional,5,5,41.92320264762591,77.20884848130041,5,9,3.0457226962350186
2016-12-31,Digital,4,1,46.141859261205184,85.80754430100505,7,18,3.616844691446606
2016-12-31,Tradicional,7,3,61.14608502783331,91.72100810895348,4,14,4.7033078621979
2017-01-31,Digital,4,3,35.68185108998687,85.83414555845143,5,12,4.236948010844851
2017-01-31,Tradicional,5,2,44.070311648796775,73.85787230860996,5,8,3.373118336906355
2017-02-28,Digital,5,1,65.7519310366755,77.92199609154277,1,15,4.127030390591925
2017-02-28,Tradicional,1,5,60.54182368894755,79.84412205533248,1,14,4.828399872688309
2017-03-31,Digital,3,5,45.07027748018778,90.40583983864529,7,6,4.424270278451005
2017-03-31,Tradicional,6,5,38.50192311703515,92.47433598946085,3,1,4.7194766396531875
2017-04-30,Digital,9,4,66.96250389928882,91.67557713492957,7,2,4.592782130344366
2017-04-30,Tradicional,10,5,63.640996158847216,84.142190222146,5,20,4.744497715925601
2017-05-31,Digital,3,5,37.795698820254565,88.2813762438254,3,14,4.033989871310577
2017-05-31,Tradicional,3,5,62.84691899179565,82.21901370703394,3,16,4.661308814334626
2017-06-30,Digital,1,0,35.65984950731657,88.6613415328029,2,4,4.637153568483505
2017-06-30,Tradicional,2,0,33.10179454450391,95.53886864444821,5,5,3.606314970047811
