Fecha,Satisfaccion_Normalizada,Tiempo_Lanzamiento_Normalizado,Adopcion_Agil_Normalizada,Cultura_Agilismo
1999-01-31,2.0209790209790217,2.3877551020408165,3.0122013218098633,2.4283785355468126
1999-02-28,1.0745920745920747,4.959183673469388,1.3274021352313166,2.3158125724470415
1999-03-31,3.129370629370629,4.714285714285714,3.2257244534824605,3.6337513020787044
1999-04-30,3.1899766899766897,2.5918367346938775,3.5083884087442807,3.106058219022123
1999-05-31,4.6037296037296045,1.816326530612245,4.47635993899339,3.7292977823735325
1999-06-30,1.869463869463869,2.836734693877551,4.53431621759024,2.959100821225885
1999-07-31,2.069930069930069,2.4285714285714284,1.814438230808338,2.100874925785958
1999-08-31,4.476689976689977,4.142857142857143,4.404168784951703,4.3547837690186455
1999-09-30,2.9347319347319347,3.4489795918367347,2.805795627859685,3.0503253398016996
1999-10-31,3.600233100233101,2.2244897959183674,4.270971021860701,3.388731485426961
1999-11-30,1.8438228438228434,1.7755102040816326,4.042196237925776,2.48284107013136
1999-12-31,1.0,3.0,3.386375190645653,2.3159125571936956
2000-01-31,1.6864801864801868,3.816326530612245,1.640569395017794,2.3116608522810864
2000-02-29,2.803030303030303,1.489795918367347,2.1326893746822573,2.207957709127003
2000-03-31,4.002331002331004,1.4489795918367347,4.071682765632945,3.257131108173305
2000-04-30,2.440559440559441,1.0408163265306123,3.7534316217590233,2.414498160710667
2000-05-31,2.174825174825175,3.2448979591836737,1.903914590747331,2.4145738349093717
2000-06-30,3.511655011655012,1.816326530612245,2.0645653279105236,2.5689295622188353
2000-07-31,3.6550116550116556,2.795918367346939,1.6822572445348247,2.805457345569191
2000-08-31,1.0536130536130537,3.612244897959184,3.256227758007117,2.481987018235112
2000-09-30,4.890442890442891,1.9387755102040818,3.502287747839349,3.5884961335901857
2000-10-31,4.685314685314687,2.5510204081632653,1.4422979156075242,3.0721213712571114
2000-11-30,1.877622377622378,1.7755102040816326,2.0899847483477374,1.910697436777762
2000-12-31,4.11888111888112,2.7142857142857144,3.2125063548551096,3.4255900682946954
2001-01-31,4.075757575757576,4.714285714285714,1.43823080833757,3.476057987090016
2001-02-28,2.2797202797202805,3.6530612244897958,2.837315709201831,2.8590011919956
2001-03-31,2.2937062937062933,4.918367346938775,3.0965937976614137,3.3219708608625744
2001-04-30,3.9766899766899764,3.326530612244898,1.9933909506863245,3.186652459555358
2001-05-31,3.0256410256410255,2.673469387755102,3.176919166243009,2.9653729764558436
2001-06-30,4.949883449883451,1.489795918367347,2.820030503304525,3.2729013064549424
